,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
24,Samedan Airport - nan,2022-08-24,21:11,02:01,2022-08-24,Tabiteuea North Airport - nan,Transair
25,Memmingen Allgau Airport - Memmingen,2022-07-24,09:52,14:40,2022-07-24,Jaime Gonzalez Airport - Cienfuegos,Royal Tongan Airlines
26,Nyagan Airport - Nyagan,2022-05-12,11:49,12:35,2022-05-12,Myitkyina Airport - Myitkyina,JALways
27,Mushaf Air Base - Sargodha,2022-08-07,18:40,20:01,2022-08-07,Coral Harbour Airport - Coral Harbour,Indonesia AirAsia Extra
28,Manicoré Airport - Manicoré,2022-12-27,22:41,01:56,2022-12-27,Childress Municipal Airport - Childress,Ansett Air Freight
29,Redding Municipal Airport - Redding,2022-08-09,10:24,15:02,2022-08-09,Governor's Harbour Airport - Governor's Harbour,Royal Brunei Airlines
30,Chengde Puning Airport - Chengde,2022-07-16,19:43,22:51,2022-07-16,Puerto Barrios Airport - Puerto Barrios,Yugoslav Airlines
31,Castlegar/West Kootenay Regional Airport - Castlegar,2022-09-01,19:49,01:37,2022-09-01,Aarhus Airport - Aarhus,United Airlines
32,Foumban Nkounja Airport - Foumban,2022-12-24,23:18,01:11,2022-12-24,Moundou Airport - Moundou,Emirates
33,Maubeuge-Élesmes Airfield - Maubeuge/Élesmes,2022-07-18,08:41,10:07,2022-07-18,Lahad Datu Airport - Lahad Datu,Virgin Samoa
34,Peterborough Municipal Airport - Peterborough,2022-10-06,16:19,17:13,2022-10-06,Reading Regional Airport (Carl A Spaatz Field) - Reading,Air Tahiti Nui
35,Nakina Airport - Nakina,2022-09-08,12:24,15:29,2022-09-08,Gissar Air Base - Dushanbe,Olympic Airways
36,Santo Ângelo Airport - Santo Ângelo,2022-12-29,19:33,01:35,2022-12-29,Normanton Airport - Normanton,Air Niugini
37,Kansk Air Base - Kansk,2022-06-20,01:22,02:44,2022-06-20,Slave Lake Airport - Slave Lake,Tasman Cargo Airlines
38,Khasab Airport - Khasab,2022-05-25,16:07,22:32,2022-05-25,RAAF Base East Sale - nan,Scoot
39,Cherif Al Idrissi Airport - Al Hoceima,2022-08-29,04:44,07:42,2022-08-29,Wattay International Airport - Vientiane,All Nippon Airways
40,Xishuangbanna Gasa Airport - Jinghong (Gasa),2022-08-02,21:45,00:24,2022-08-02,Iliamna Airport - Iliamna,Olympic Airways
41,Győr-Pér International Airport - Győr,2022-08-20,06:46,12:33,2022-08-20,Baita International Airport - Hohhot,Air Chathams
42,Oran Tafraoui Airport - Tafraoui,2022-12-27,20:57,01:35,2022-12-27,Mc Minnville Municipal Airport - Mc Minnville,United Parcel Service
43,St. John's International Airport - St. John's,2022-11-11,08:01,09:53,2022-11-11,Gisborne Airport - Gisborne,Air India
44,MBS International Airport - Saginaw,2022-07-20,10:32,17:10,2022-07-20,Karlskoga Airport - nan,Kiwi Travel Intl Airlines
45,Coto 47 Airport - Corredores,2022-10-20,17:49,18:41,2022-10-20,Wasilla Airport - Wasilla,Thai Airways International
46,Hard Bargain Airport - nan,2022-09-22,04:13,06:59,2022-09-22,Krasnokamensk Airport - Krasnokamensk,Virgin Samoa
47,Williamsport Regional Airport - Williamsport,2022-06-16,09:59,12:52,2022-06-16,Mananara Nord Airport - Mananara Nord,Air Caledonie International
48,Wiener Neustadt East Airport - Wiener Neustadt,2022-10-08,07:59,11:46,2022-10-08,Sidney Municipal-Lloyd W Carr Field - Sidney,Delta Air Lines
49,Chippewa County International Airport - Sault Ste Marie,2022-07-06,00:01,04:40,2022-07-06,Cruzeiro do Sul Airport - Cruzeiro Do Sul,Airlines PNG
50,Baghdad International Airport / New Al Muthana Air Base - Baghdad,2022-06-22,21:14,22:27,2022-06-22,Anadolu Airport - Eskişehir,Ansett International
51,Dera Ismael Khan Airport - Dera Ismael Khan,2022-06-27,08:50,13:23,2022-06-27,Shiraz Shahid Dastghaib International Airport - Shiraz,Evergreen Intl Airlines
52,Prince Sultan Air Base - nan,2022-06-04,14:04,18:37,2022-06-04,Shirdi Airport - Kakadi,Vietnam Airlines
53,Bislig Airport - nan,2022-12-10,11:13,12:17,2022-12-10,Chanute Martin Johnson Airport - Chanute,Emirates
54,Moffett Federal Airfield - Mountain View,2022-07-20,02:50,07:10,2022-07-20,Yengema Airport - Yengema,Our Airline
55,Kapalua Airport - Lahaina,2022-09-28,03:56,06:12,2022-09-28,Creil Air Base - Creil,Our Airline
56,Qurghonteppa International Airport - Kurgan-Tyube,2022-12-26,03:37,10:09,2022-12-26,Natal Air Force Base - Natal,Hawaiian Airlines
57,Geraldton Airport - Geraldton,2022-05-25,20:18,02:45,2022-05-25,Dodoma Airport - Dodoma,Silk Air
58,Verdun-Le Rozelier Airfield - Verdun,2022-11-16,12:56,13:28,2022-11-16,Hemavan Airport - Hemavan,Air India
59,Gimpo International Airport - Seoul,2022-09-13,04:32,09:58,2022-09-13,Chaitén Airport - Chaiten,Tasman Cargo Airlines
60,Gvardeyskoe Air Base - Sarabuz,2022-10-24,11:52,13:47,2022-10-24,Telêmaco Borba Airport - Telêmaco Borba,Air Nauru
61,Chippewa County International Airport - Sault Ste Marie,2022-08-29,00:14,00:35,2022-08-29,Sir Barry Bowen Municipal Airport - Belize City,Air Caledonie International
62,Ghedi Air Base - Ghedi,2022-10-31,14:45,19:44,2022-10-31,Kaadedhdhoo Airport - Huvadhu Atoll,Mandarin Airlines
63,K. D. Matanzima Airport - Mthatha,2022-09-27,06:06,08:57,2022-09-27,Teniente Coronel Luis a Mantilla Airport - Tulcán,China Eastern Airlines
64,Shanghai Pudong International Airport - Shanghai (Pudong),2022-07-31,05:19,10:32,2022-07-31,Peawanuck Airport - Peawanuck,Our Airline
65,Tri-State/Milton J. Ferguson Field - Huntington,2022-06-08,15:23,21:06,2022-06-08,Aurora State Airport - Aurora,Air Niugini
66,Niagara Falls International Airport - Niagara Falls,2022-09-01,12:15,13:01,2022-09-01,Boeing Field King County International Airport - Seattle,Air Paradise International
67,Shache Yeerqiang Airport - Shache,2022-11-19,14:22,19:44,2022-11-19,Loreto International Airport - Loreto,United Parcel Service
68,Malamala Airport - Malamala,2022-12-06,00:17,03:16,2022-12-06,Yulin Fumian Airport - Yùlín,Air New Zealand
69,Nipawin Airport - Nipawin,2022-10-07,09:35,16:12,2022-10-07,Robert L. Bradshaw International Airport - Basseterre,China Eastern Airlines
70,Bacău Airport - Bacău,2022-06-02,14:28,14:48,2022-06-02,London Stansted Airport - London,British Airways
71,Aérodrome de Péronne Saint-Quentin - Péronne/Saint-Quentin,2022-05-02,11:38,13:42,2022-05-02,Big Creek Airport - Big Creek,Beijing Capital Airlines
72,Devi Ahilyabai Holkar Airport - Indore,2022-10-23,08:12,10:58,2022-10-23,Smyrna Airport - Smyrna,Australia Asia Airlines
73,Modibo Keita International Airport - Bamako,2022-07-10,00:26,00:55,2022-07-10,Xinyang Minggang Airport - Xinyang,Kalitta Air
74,Beryozovka Air Base - Pechora,2022-10-07,01:50,04:26,2022-10-07,Hamilton Airport - nan,Hainan Airlines
75,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport - Jizan,2022-08-31,17:14,22:00,2022-08-31,Greenville Downtown Airport - Greenville,Qatar Airways
76,Mwanza Airport - Mwanza,2022-08-28,08:08,10:45,2022-08-28,Saint John Airport - Saint John,Australian Airlines
77,Spichenkovo Airport - Novokuznetsk,2022-11-19,03:00,07:54,2022-11-19,Novosibirsk North Airport - Novosibirsk,Jetstar Asia
78,Boboc Air Base - Boboc,2022-07-05,01:04,06:19,2022-07-05,Dollyar Air Base - Dollyar,Tigerair
79,Tripoli International Airport - Tripoli,2022-11-17,18:39,00:14,2022-11-17,Antonio Agostinho-Neto International Airport - Pointe Noire,China Eastern Airlines
80,Mwanza Airport - Mwanza,2022-12-02,03:41,06:07,2022-12-02,Baicheng Chang'an Airport - Baicheng,Scoot
81,Gjoa Haven Airport - Gjoa Haven,2022-11-16,21:49,01:53,2022-11-16,Arua Airport - Arua,Flight West Airlines
82,Whangarei Airport - nan,2022-07-02,11:26,12:41,2022-07-02,Whiteman Air Force Base - Knob Noster,Australia Asia Airlines
83,Ercan International Airport - Nicosia,2022-10-26,02:24,06:43,2022-10-26,Abu Suwayr Air Base - Abu Suwayr,Philippine Airlines
84,Dutchess County Airport - Poughkeepsie,2022-11-08,12:30,14:21,2022-11-08,Mariehamn Airport - Mariehamn,China Southern Airlines
85,Findlay Airport - Findlay,2022-05-06,22:22,23:35,2022-05-06,Hermes Quijada International Airport - Rio Grande,Fiji Airways
86,Pau Pyrénées Airport - Pau/Pyrénées (Uzein),2022-05-26,07:27,08:40,2022-05-26,Morlaix-Ploujean Airport - Morlaix/Ploujean,Ansett Air Freight
87,Fritzlar Army Airfield - Fritzlar,2022-09-20,08:59,11:44,2022-09-20,Avord (BA 702) Air Base - Avord,Air New Zealand
88,Chattanooga Metropolitan Airport (Lovell Field) - Chattanooga,2022-05-05,02:14,03:53,2022-05-05,Kazi Nazrul Islam Airport - Durgapur,V Australia
89,Topeka Regional Airport - Topeka,2022-08-21,07:16,08:14,2022-08-21,Bayreuth Airport - Bayreuth,Malaysia Airlines
90,Long Beach Airport (Daugherty Field) - Long Beach,2022-06-09,19:44,00:06,2022-06-09,Cleve Airport - nan,Air Nauru
91,Chetumal International Airport - Chetumal,2022-08-23,23:09,02:58,2022-08-23,Kiev Zhuliany International Airport - Kiev,Nauru Airlines
92,Elista Airport - Elista,2022-07-13,03:03,08:12,2022-07-13,Grand Bahama International Airport - Freeport,Pel-Air Aviation
93,Manuel Márquez de León International Airport - La Paz,2022-09-09,03:09,09:02,2022-09-09,Oamaru Airport - nan,Polar Air Cargo
94,Sua Pan Airport - Sowa,2022-05-22,11:12,17:31,2022-05-22,"Fuxin Air Base - Xihe, Fuxin",Samoa Airways
95,Ngukurr Airport - nan,2022-06-03,12:35,16:02,2022-06-03,St Paul Downtown Holman Field - St Paul,Kiwi Travel Intl Airlines
96,Can Tho International Airport - Can Tho,2022-08-27,19:58,02:16,2022-08-27,Alma Airport - Alma,Donghai Airlines
97,Levashovo Air Base - St. Petersburg,2022-11-11,10:12,13:56,2022-11-11,Grafton Airport - nan,Tiger Airways
98,Lusaka City Airport - Lusaka,2022-11-26,11:08,12:31,2022-11-26,Narromine Airport - nan,Gulf Air
99,Logroño-Agoncillo Airport - Logroño,2022-11-21,23:59,01:30,2022-11-21,Ronneby Airport - Ronneby,Citilink Indonesia
100,Hattiesburg Laurel Regional Airport - Moselle,2022-08-13,08:33,15:01,2022-08-13,Uranium City Airport - Uranium City,Alitalia
101,Lombok International Airport - Mataram,2022-12-02,22:01,00:59,2022-12-02,Sveg Airport - Sveg,Indonesia AirAsia Extra
102,Presidente Itamar Franco Airport - Juiz de Fora,2022-09-21,18:16,20:20,2022-09-21,Tiksi Airport - Tiksi,AirAsia X
103,Lashio Airport - Lashio,2022-05-19,12:58,16:36,2022-05-19,Oshima Airport - Izu Oshima,Airnorth
104,Şırnak Şerafettin Elçi Airport - Şırnak,2022-09-30,03:57,10:13,2022-09-30,Trivandrum International Airport - Thiruvananthapuram,Airlines PNG
105,Winnemucca Municipal Airport - Winnemucca,2022-11-11,07:32,13:15,2022-11-11,Ufa International Airport - Ufa,Air France
106,Gudauta Air Base - Gudauta,2022-06-19,00:49,01:31,2022-06-19,Cooma Snowy Mountains Airport - Cooma,Air Tahiti Nui
107,Johan Adolf Pengel International Airport - Zandery,2022-05-11,01:20,07:23,2022-05-11,Munich Airport - Munich,Austrian Airlines
108,Northwest Florida Beaches International Airport - Panama City Beach,2022-08-09,23:12,04:50,2022-08-09,Irkutsk Northwest Airport - Irkutsk,Tasman Cargo Airlines
109,Perpignan-Rivesaltes (Llabanère) Airport - Perpignan/Rivesaltes,2022-05-04,15:24,16:59,2022-05-04,Neubrandenburg Airport - Neubrandenburg,Delta Air Lines
110,Allah Valley Airport - Surallah,2022-12-10,19:16,20:22,2022-12-10,Vancouver International Airport - Vancouver,Air Canada
111,Kbely Air Base - Prague,2022-07-21,11:04,15:08,2022-07-21,Charlottesville Albemarle Airport - Charlottesville,Air New Zealand
112,Nanded Airport - Nanded,2022-12-26,04:49,07:18,2022-12-26,Husein Sastranegara International Airport - Bandung-Java Island,Air Pacific
113,Faro Airport - Faro,2022-09-08,15:25,21:00,2022-09-08,Orangeburg Municipal Airport - Orangeburg,Japan Airlines
114,Tuzla International Airport - Tuzla,2022-11-22,23:37,04:46,2022-11-22,Bratsk Airport - Bratsk,Malindo Air
115,Choibalsan Airport - nan,2022-08-14,11:14,16:19,2022-08-14,Greater Rochester International Airport - Rochester,American Airlines
116,Huatugou Airport - Mengnai,2022-12-10,13:28,16:18,2022-12-10,Rafsanjan Airport - Rafsanjan,Hainan Airlines
117,Moorea Temae Airport - Moorea-Maiao,2022-08-20,07:31,11:52,2022-08-20,Scandinavian Mountains Airport - Sälen / Trysil,Thai Airways International
118,Ísafjörður Airport - Ísafjörður,2022-12-21,01:57,08:37,2022-12-21,Southwest Georgia Regional Airport - Albany,Gemini Air Cargo
119,Ghedi Air Base - Ghedi,2022-10-08,16:41,19:13,2022-10-08,Newark Liberty International Airport - New York,Eva Air
120,Akanu Ibiam International Airport - Enegu,2022-07-25,07:11,07:56,2022-07-25,La Grande-4 Airport - La Grande-4,Hainan Airlines
121,"Stord Airport, Sørstokken - Leirvik",2022-07-14,06:59,12:51,2022-07-14,Quantico Marine Corps Airfield / Turner Field - Quantico,V Australia
122,Araguaína Airport - Araguaína,2022-11-18,13:48,14:27,2022-11-18,F.G.L. Airport Granada-Jaén Airport - Granada,Lan Chile
123,Lake Tahoe Airport - South Lake Tahoe,2022-11-28,01:26,05:47,2022-11-28,Tucupita Airport - Tucupita,Asian Express Airlines
124,Bislig Airport - nan,2022-10-18,20:04,00:35,2022-10-18,Pendopo Airport - Talang Gudang-Sumatra Island,Aeroflot Russian Intl A/l
125,Ghadames East Airport - Ghadames,2022-08-30,20:54,23:42,2022-08-30,Chiayi Airport - Chiayi City,Pacific Air Express
126,Reno Tahoe International Airport - Reno,2022-08-05,20:11,23:16,2022-08-05,Rome–Fiumicino Leonardo da Vinci International Airport - Rome,Martinair Holland
127,Adnan Menderes International Airport - İzmir,2022-09-28,21:02,01:13,2022-09-28,La Isabela International Airport - La Isabela,Gemini Air Cargo
128,Adelaide International Airport - Adelaide,2022-09-29,16:21,17:14,2022-09-29,Tokat Airport - Tokat,Pacific Air Express
129,Nosara Airport - Nicoya,2022-10-26,17:58,22:22,2022-10-26,Bremen Airport - Bremen,LAN Airlines
130,North Lakhimpur Airport - Lilabari,2022-11-22,12:52,16:53,2022-11-22,Shaoyang Wugang Airport - Shaoyang,Cebu Pacific Air
131,Jack Mc Namara Field Airport - Crescent City,2022-09-16,11:18,16:02,2022-09-16,Pico Airport - Pico Island,Air New Zealand
132,Osaka International Airport - Osaka,2022-05-17,04:28,09:19,2022-05-17,Sheikh ul Alam International Airport - Srinagar,American Airlines
133,Hana Airport - Hana,2022-08-02,01:25,03:07,2022-08-02,Vila Real Airport - Vila Real,Air India
134,Kokkola-Pietarsaari Airport - Kokkola / Kruunupyy,2022-09-15,17:24,19:50,2022-09-15,Tobías Bolaños International Airport - San Jose,Emirates
135,Kimberley Airport - Kimberley,2022-06-12,02:13,03:58,2022-06-12,Muskoka Airport - Muskoka,Pan American
136,Del Bajío International Airport - Silao,2022-07-04,07:24,08:39,2022-07-04,Quantico Marine Corps Airfield / Turner Field - Quantico,Lan Chile
137,Evansville Regional Airport - Evansville,2022-09-26,02:55,04:52,2022-09-26,Arar Domestic Airport - Arar,Connie Kalitta Services
138,Misawa Air Base / Misawa Airport - Misawa,2022-12-18,18:42,23:17,2022-12-18,Rome Urbe Airport - Rome,Kiwi Travel Intl Airlines
139,Schefferville Airport - Schefferville,2022-08-17,20:45,01:22,2022-08-17,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field - Minneapolis,Austrian Airlines
140,"İstanbul Airport - Arnavutköy, Istanbul",2022-05-24,10:04,14:39,2022-05-24,Diego Garcia Naval Support Facility - Diego Garcia,Virgin Samoa
141,Tuz Khurmatu Air Base - nan,2022-06-01,04:48,07:19,2022-06-01,Figari Sud-Corse Airport - Figari Sud-Corse,Tasman Cargo Airlines
142,Mayor Buenaventura Vivas International Airport - Santo Domingo,2022-06-26,19:28,23:41,2022-06-26,JGSDF Kisarazu Airfield - Kisarazu,Air India
143,Praia International Airport - Praia,2022-10-02,16:16,22:44,2022-10-02,Tri-Cities Regional TN/VA Airport - Bristol/Johnson/Kingsport,Garuda Indonesia
144,Migalovo Air Base - Tver,2022-08-22,14:48,19:55,2022-08-22,NAS Fort Worth JRB / Carswell Field - Fort Worth,Northwest Airlines
145,Erzurum International Airport - Erzurum,2022-08-03,14:50,16:21,2022-08-03,Campo de Marte Airport - São Paulo,Indonesia AirAsia
146,Drake Field - Fayetteville,2022-12-08,17:51,22:27,2022-12-08,Roberts International Airport - Monrovia,Donghai Airlines
147,Tokushima Awaodori Airport / JMSDF Tokushima Air Base - Tokushima,2022-06-10,01:51,05:59,2022-06-10,Malé International Airport - Malé,SriLankan Airlines
148,Seinäjoki Airport - Seinäjoki / Ilmajoki,2022-11-21,11:38,15:06,2022-11-21,Trivandrum International Airport - Thiruvananthapuram,Thai Airways International
149,Shirak International Airport - Gyumri,2022-05-01,09:08,14:44,2022-05-01,Adolf Würth Airport - Schwäbisch Hall,JALways
150,Shangqiu Air Base - Shangqiu,2022-08-18,04:40,10:25,2022-08-18,Burke Lakefront Airport - Cleveland,Cebu Pacific Air
151,Easterwood Field - College Station,2022-10-18,22:10,02:23,2022-10-18,Sunchon Air Base - Sunchon,SriLankan Airlines
152,Pingtung South Airport - Pingtung,2022-05-20,22:50,23:54,2022-05-20,Bandundu Airport - Bandundu,Hawaiian Airlines
153,RAF Ascension Island - Cat Hill,2022-05-03,11:36,16:04,2022-05-03,Con Dao Airport - Con Dao,Virgin Atlantic Airways
154,Barisal Airport - Barisal,2022-08-04,05:08,09:15,2022-08-04,Kurnool Airport - Orvakal,SriLankan Airlines
155,Marsa Brega Airport - nan,2022-11-23,22:03,02:28,2022-11-23,Balad Southeast Airport / Joint Base Balad - Al Bakr,National Airlines
156,Yangzhou Taizhou Airport - Yangzhou,2022-11-11,13:12,14:20,2022-11-11,Melun-Villaroche Air Base - Melun/Villaroche,Vietnam Airlines
157,Dr. Antonio Nicolás Briceño Airport - Valera,2022-11-07,19:34,00:09,2022-11-07,Powidz Military Air Base - nan,Philippine Airlines
158,Hawarden Airport - Hawarden,2022-10-05,06:33,08:19,2022-10-05,Pribylovo Naval Air Base - Pribilovo,Hong Kong Airlines
159,Inta Airport - Inta,2022-11-20,17:55,19:14,2022-11-20,Avignon-Caumont Airport - Avignon/Caumont,SkyExpress
160,Shalkar Airport - Shalkar,2022-09-29,22:46,04:04,2022-09-29,Engels Air Base - Saratov,Singapore Airlines
161,Vohemar Airport - Vohemar,2022-08-28,22:04,23:49,2022-08-28,Desert Rock Airport - Mercury,Air Austral
162,Safdarjung Airport - New Delhi,2022-12-28,04:57,06:57,2022-12-28,Owando Airport - Owando,Alitalia
163,Guangyuan Panlong Airport - Guangyuan,2022-06-12,03:19,04:12,2022-06-12,Liuzhou Bailian Airport / Bailian Air Base - Liuzhou (Liujiang),Scoot Tigerair
164,San Luis Airport - Ipiales,2022-08-05,15:42,16:59,2022-08-05,Pichoy Airport - Valdivia,Virgin Samoa
165,V.C. Bird International Airport - St. John's,2022-05-24,23:22,02:23,2022-05-24,Muir Army Air Field (Fort Indiantown Gap) Airport - Fort Indiantown Gap(Annville),Virgin Atlantic Airways
166,Bandundu Airport - Bandundu,2022-10-02,17:35,18:54,2022-10-02,Tinson Pen Airport - Tinson Pen,Scoot
167,Fuerteventura Airport - Fuerteventura Island,2022-06-27,14:13,15:03,2022-06-27,Hermanos Ameijeiras Airport - Las Tunas,Vietnam Airlines
168,Majeed Bin Abdulaziz Airport - Al Ula,2022-11-06,18:35,21:12,2022-11-06,Vinh Airport - Vinh,V Australia
169,Illizi Takhamalt Airport - Illizi,2022-11-02,11:24,15:21,2022-11-02,The Ohio State University Airport - Don Scott Field - Columbus,Air Paradise International
170,Nizhyn Air Base - Nizhyn,2022-08-08,23:47,00:29,2022-08-08,Pamplona Airport - Pamplona,Air New Zealand
171,Vologda Airport - Vologda,2022-08-22,02:28,03:16,2022-08-22,Southwest Wyoming Regional Airport - Rock Springs,Air New Zealand
172,Cherry Capital Airport - Traverse City,2022-07-22,12:42,13:48,2022-07-22,Corrientes Airport - Corrientes,Air Caledonie International
173,Albuquerque International Sunport - Albuquerque,2022-07-10,16:11,20:10,2022-07-10,Medicine Hat Regional Airport - Medicine Hat,Freedom Air International
174,Le Touquet-Côte d'Opale Airport - Le Touquet-Paris-Plage,2022-11-30,14:37,17:10,2022-11-30,General Mitchell International Airport - Milwaukee,Airnorth
175,Des Moines International Airport - Des Moines,2022-06-21,05:58,07:27,2022-06-21,Urmia Airport - Urmia,Royal Brunei Airlines
176,Juan Gualberto Gomez International Airport - Varadero,2022-07-09,01:30,02:36,2022-07-09,Xinyang Minggang Airport - Xinyang,Jetstar Asia
177,Bob Hope Airport - Burbank,2022-06-12,18:27,19:34,2022-06-12,"Istanbul Sabiha Gökçen International Airport - Pendik, Istanbul",Airnorth
178,CFB Bagotville - Bagotville,2022-12-22,05:58,09:13,2022-12-22,Mangla Airport - Mangla,Air China
179,Guernsey Airport - Saint Peter Port,2022-12-24,20:14,22:42,2022-12-24,Jonesboro Municipal Airport - Jonesboro,Ansett International
180,Pocatello Regional Airport - Pocatello,2022-12-11,11:28,12:54,2022-12-11,Yakushima Airport - Yakushima,United Parcel Service
181,Elizabeth City Regional Airport & Coast Guard Air Station - Elizabeth City,2022-11-14,19:57,01:07,2022-11-14,Koksijde Air Base - Koksijde,Cargolux Airlines Intl
182,Presidente Prudente Airport - Presidente Prudente,2022-12-13,09:11,09:33,2022-12-13,Armstrong Airport - Armstrong,OzJet
183,Matsu Nangan Airport - Matsu (Nangan),2022-05-10,03:27,04:46,2022-05-10,Niagara Falls International Airport - Niagara Falls,Pan American
184,Port Hedland International Airport - Port Hedland,2022-08-03,02:33,03:01,2022-08-03,Alfonso Bonilla Aragon International Airport - Cali,Hong Kong Airlines
185,Capitan FAP Carlos Martinez De Pinillos International Airport - Trujillo,2022-05-12,23:48,02:41,2022-05-12,Hendrik Van Eck Airport - Phalaborwa,British Airways
186,Eliwana - nan,2022-07-25,01:51,08:07,2022-07-25,Sentani International Airport - Jayapura-Papua Island,Kiwi Travel Intl Airlines
187,Kurgan Airport - Kurgan,2022-10-29,10:26,15:49,2022-10-29,Manakara Airport - Manakara,Scoot Tigerair
188,Cotopaxi International Airport - Latacunga,2022-10-25,01:06,03:37,2022-10-25,Thompson Airport - Thompson,Swissair
189,Quaqtaq Airport - Quaqtaq,2022-08-26,09:50,14:49,2022-08-26,Doha International Airport - Doha,Virgin Atlantic Airways
190,Niue International Airport - Alofi,2022-05-29,06:04,10:32,2022-05-29,Yueyang Sanhe Airport - Yueyang,Virgin Atlantic Airways
191,Moma Airport - Khonuu,2022-07-14,21:14,00:55,2022-07-14,General WM J Fox Airfield - Lancaster,Air China
192,Bario Airport - Bario,2022-10-01,17:09,17:38,2022-10-01,Huizhou Pingtan Airport - Huizhou (Pingtan),United Parcel Service
193,La Coloma Airport - Pinar del Rio,2022-08-07,16:33,17:58,2022-08-07,Santa Ana Del Yacuma Airport - Santa Ana del Yacuma,Asiana Airlines
194,Awang Airport - Cotabato City,2022-06-13,07:57,11:11,2022-06-13,Deelen Air Base - Arnhem,Jetstar Asia
195,Saint-Yan Airport - Saint-Yan,2022-12-26,10:31,15:15,2022-12-26,Termez Airport - Termez,OzJet
196,Faya Largeau Airport - nan,2022-07-22,06:13,07:05,2022-07-22,Daet Airport - Daet,Garuda Indonesia
197,Girua Airport - Popondetta,2022-12-15,01:20,04:10,2022-12-15,Pokhara International Airport - Pokhara,Aegean Airlines
198,Edward G. Pitka Sr Airport - Galena,2022-10-08,05:59,11:11,2022-10-08,General Roberto Fierro Villalobos International Airport - Chihuahua,American Airlines
199,Bovanenkovo Airport - Bovanenkovo,2022-12-18,12:01,16:52,2022-12-18,Wiluna Airport - nan,Freedom Air International
200,RAF Northolt - London,2022-05-17,09:24,13:37,2022-05-17,Wonsan Kalma International Airport - Wonsan,Eva Air
