,codes,airports,cities,countries,airports - cities
38,BGKK,Kulusuk Airport,Kulusuk,GL,Kulusuk Airport - Kulusuk
39,BGSF,Kangerlussuaq Airport,Kangerlussuaq,GL,Kangerlussuaq Airport - Kangerlussuaq
40,BGSS,Sisimiut Airport,Sisimiut,GL,Sisimiut Airport - Sisimiut
41,BGTL,Thule Air Base,Thule,GL,Thule Air Base - Thule
42,BIAR,Akureyri Airport,Akureyri,IS,Akureyri Airport - Akureyri
43,BIEG,Egilsstaðir Airport,Egilsstaðir,IS,Egilsstaðir Airport - Egilsstaðir
44,BIHN,Hornafjörður Airport,Höfn,IS,Hornafjörður Airport - Höfn
45,BIHU,Húsavík Airport,Húsavík,IS,Húsavík Airport - Húsavík
46,BIIS,Ísafjörður Airport,Ísafjörður,IS,Ísafjörður Airport - Ísafjörður
47,BIKF,Keflavik International Airport,Reykjavík,IS,Keflavik International Airport - Reykjavík
48,BIRK,Reykjavik Airport,Reykjavik,IS,Reykjavik Airport - Reykjavik
49,BISI,Siglufjörður Airport,Siglufjörður,IS,Siglufjörður Airport - Siglufjörður
50,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Vestmannaeyjar Airport - Vestmannaeyjar
51,BKPR,Priština Adem Jashari International Airport,Prishtina,XK,Priština Adem Jashari International Airport - Prishtina
52,BR-0569,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,Glauber de Andrade Rocha Airport - Vitória da Conquista
53,BY-0001,Orsha Airport - Balbasovo Air Base,Orsha,BY,Orsha Airport - Balbasovo Air Base - Orsha
54,BY-0003,Bobrovichi Air Base,Kalinovichi,BY,Bobrovichi Air Base - Kalinovichi
55,BY-0006,Osovtsy Air Base,Byaroza,BY,Osovtsy Air Base - Byaroza
56,BZ-BGK,Big Creek Airport,Big Creek,BZ,Big Creek Airport - Big Creek
57,BZ-CUK,Caye Caulker Airport,Caye Caulker,BZ,Caye Caulker Airport - Caye Caulker
58,BZ-CYC,Caye Chapel Airport,Caye Chapel,BZ,Caye Chapel Airport - Caye Chapel
59,BZ-CZH,Corozal Municipal Airport,Corozal,BZ,Corozal Municipal Airport - Corozal
60,BZ-DGA,Dangriga Airport,Dangriga,BZ,Dangriga Airport - Dangriga
61,BZ-PLJ,Placencia Airport,Placencia,BZ,Placencia Airport - Placencia
62,BZ-PND,Punta Gorda Airport,Punta Gorda,BZ,Punta Gorda Airport - Punta Gorda
63,BZ-SJX,Sartaneja Airport,Sartaneja,BZ,Sartaneja Airport - Sartaneja
64,BZ-SPR,John Greif II Airport,San Pedro,BZ,John Greif II Airport - San Pedro
65,BZ-TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ,Sir Barry Bowen Municipal Airport - Belize City
66,BZB,Bazaruto Island Airport,Bazaruto Island,MZ,Bazaruto Island Airport - Bazaruto Island
67,CD-0024,Boma Lukandu International Airport,Boma,CD,Boma Lukandu International Airport - Boma
68,CN-0003,Laohutun Air Base,"Wafangdian, Dalian",CN,"Laohutun Air Base - Wafangdian, Dalian"
69,CN-0004,Pulandian Air Base,"Pulandian, Dalian",CN,"Pulandian Air Base - Pulandian, Dalian"
70,CN-0006,Beijing Shahezhen Air Base,Beijing,CN,Beijing Shahezhen Air Base - Beijing
71,CN-0007,Beijing Tongxian Air Base,Beijing,CN,Beijing Tongxian Air Base - Beijing
72,CN-0012,Yuanmou Air Base,Yuanmou,CN,Yuanmou Air Base - Yuanmou
73,CN-0013,Fengning Air Base,,CN,Fengning Air Base - nan
74,CN-0014,Hohhot Bikeqi Air Base,Hohhot,CN,Hohhot Bikeqi Air Base - Hohhot
75,CN-0015,Huairen Air Base,Shuozhou,CN,Huairen Air Base - Shuozhou
76,CN-0016,Liangxiangzhen Air Base,Beijing,CN,Liangxiangzhen Air Base - Beijing
77,CN-0018,Tangguantun Air Base,Jinghai,CN,Tangguantun Air Base - Jinghai
78,CN-0020,Wenshui Air Base,Lüliang,CN,Wenshui Air Base - Lüliang
79,CN-0021,Yangcun Air Base,,CN,Yangcun Air Base - nan
80,CN-0022,Yongning Air Base,Yongning,CN,Yongning Air Base - Yongning
81,CN-0024,Zhangjiakou Ningyuan Airport,Zhangjiakou,CN,Zhangjiakou Ningyuan Airport - Zhangjiakou
82,CN-0025,Zunhua Air Base,,CN,Zunhua Air Base - nan
83,CN-0026,Chengdu Huangtianba Air Base,Chengdu,CN,Chengdu Huangtianba Air Base - Chengdu
84,CN-0027,Baoshan Yunrui Airport,Baoshan,CN,Baoshan Yunrui Airport - Baoshan
85,CN-0030,Chongqing Baishiyi Air Base,Chongqing,CN,Chongqing Baishiyi Air Base - Chongqing
86,CN-0040,Lincang Boshang Airport,Lincang,CN,Lincang Boshang Airport - Lincang
87,CN-0041,Luliang Air Base,Qujing (Luliang),CN,Luliang Air Base - Qujing (Luliang)
88,CN-0043,Mengzi Air Base,,CN,Mengzi Air Base - nan
89,CN-0045,Qionglai Air Base,"Qionglai, Chengdu",CN,"Qionglai Air Base - Qionglai, Chengdu"
90,CN-0046,Xigaze Peace Airport / Shigatse Air Base,Xigazê,CN,Xigaze Peace Airport / Shigatse Air Base - Xigazê
91,CN-0048,Wenshan Air Base,,CN,Wenshan Air Base - nan
92,CN-0049,Xiangyun Midu Air Base,Xiangyun,CN,Xiangyun Midu Air Base - Xiangyun
93,CN-0050,Bao'anying Airport,Panzhihua,CN,Bao'anying Airport - Panzhihua
94,CN-0053,Baihe Ningming Air Base,Ningming,CN,Baihe Ningming Air Base - Ningming
95,CN-0055,Changsha Datuopu Airport / Changsha Air Base,Changsha,CN,Changsha Datuopu Airport / Changsha Air Base - Changsha
96,CN-0056,Dangyang Air Base,Yichang,CN,Dangyang Air Base - Yichang
97,CN-0057,Foluo Northeast Air Base,Ledong Li Autonomous County (Da'anzhen),CN,Foluo Northeast Air Base - Ledong Li Autonomous County (Da'anzhen)
98,CN-0061,Foshan Shadi Airport,Foshan (Nanhai),CN,Foshan Shadi Airport - Foshan (Nanhai)
99,CN-0063,Guiping Mengxu Air Base,Guiping (Guigang),CN,Guiping Mengxu Air Base - Guiping (Guigang)
100,CN-0067,Xinyang Minggang Airport,Xinyang,CN,Xinyang Minggang Airport - Xinyang
101,CN-0068,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,Huizhou Pingtan Airport - Huizhou (Pingtan)
102,CN-0069,Jialaishi Air Base,Lingao,CN,Jialaishi Air Base - Lingao
103,CN-0071,Leiyang Air Base,,CN,Leiyang Air Base - nan
104,CN-0072,Lingshui Air Base,Lingshui Li Autonomous County,CN,Lingshui Air Base - Lingshui Li Autonomous County
105,CN-0074,Shangqiu Air Base,Shangqiu,CN,Shangqiu Air Base - Shangqiu
106,CN-0076,Zhengzhou Air Base,Zhengzhou,CN,Zhengzhou Air Base - Zhengzhou
107,CN-0079,Shaoguan Guitou Airport,Ruyuan Yao Autonomous County (Shaoguan),CN,Shaoguan Guitou Airport - Ruyuan Yao Autonomous County (Shaoguan)
108,CN-0080,Suixi Air Base,Zhanjiang (Suixi),CN,Suixi Air Base - Zhanjiang (Suixi)
109,CN-0081,Jinggangshan Airport,Ji'an,CN,Jinggangshan Airport - Ji'an
110,CN-0082,Baise Youjiang Airport,Baise (Tianyang),CN,Baise Youjiang Airport - Baise (Tianyang)
111,CN-0083,Guodu Air Base,"Xintai, Tai'an",CN,"Guodu Air Base - Xintai, Tai'an"
112,CN-0085,Xiaogan Air Base,Xiaogan,CN,Xiaogan Air Base - Xiaogan
113,CN-0090,Cangxian Air Base,Cangzhou,CN,Cangxian Air Base - Cangzhou
114,CN-0091,Dongying Shengli Airport,Dongying,CN,Dongying Shengli Airport - Dongying
115,CN-0092,Jiaozhou Jiaocheng Air Base,"Jiaozhou, Qingdao",CN,"Jiaozhou Jiaocheng Air Base - Jiaozhou, Qingdao"
116,CN-0094,Jiugucheng Air Base,Hengshui,CN,Jiugucheng Air Base - Hengshui
117,CN-0095,Kaifeng Air Base,Kaifeng,CN,Kaifeng Air Base - Kaifeng
118,CN-0096,Laiyang Air Base,Yantai,CN,Laiyang Air Base - Yantai
119,CN-0097,Luyang Air Base,Lushan,CN,Luyang Air Base - Lushan
120,CN-0104,Xingcheng Air Base,"Xingcheng, Huludao",CN,"Xingcheng Air Base - Xingcheng, Huludao"
121,CN-0106,Xuzhou Daguozhang Air Base,Xuzhou,CN,Xuzhou Daguozhang Air Base - Xuzhou
122,CN-0111,Zhucheng Air Base,Weifang,CN,Zhucheng Air Base - Weifang
123,CN-0113,Altay Airport,Altay,CN,Altay Airport - Altay
124,CN-0114,Baoji Air Base,Baoji,CN,Baoji Air Base - Baoji
125,CN-0117,Gonghe Air Base,,CN,Gonghe Air Base - nan
126,CN-0123,Lanzhou Air Base,Lanzhou,CN,Lanzhou Air Base - Lanzhou
127,CN-0125,Lintao Air Base,Dingxi,CN,Lintao Air Base - Dingxi
128,CN-0127,Qingshui Air Base,Jiuquan,CN,Qingshui Air Base - Jiuquan
129,CN-0130,Tianshui Maijishan Airport,Tianshui,CN,Tianshui Maijishan Airport - Tianshui
130,CN-0132,Ürümqi South Air Base,Ürümqi,CN,Ürümqi South Air Base - Ürümqi
131,CN-0133,Uxxaktal Air Base,"Hoxud, Bayingolin",CN,"Uxxaktal Air Base - Hoxud, Bayingolin"
132,CN-0134,Wugong Air Base,,CN,Wugong Air Base - nan
133,CN-0135,Ürümqi Changji Air Base,Ashilixiang,CN,Ürümqi Changji Air Base - Ashilixiang
134,CN-0136,Wuwei Air Base,,CN,Wuwei Air Base - nan
135,CN-0137,Xi'an Air Base,Xi'an,CN,Xi'an Air Base - Xi'an
136,CN-0138,Xincheng Air Base,Ganzhou,CN,Xincheng Air Base - Ganzhou
137,CN-0139,Yaerbashi Test Range,"Yizhou, Hami",CN,"Yaerbashi Test Range - Yizhou, Hami"
138,CN-0140,Yanliang Air Base,,CN,Yanliang Air Base - nan
139,CN-0146,Daishan Air Base,Zhoushan,CN,Daishan Air Base - Zhoushan
140,CN-0147,Feidong Air Base,Hefei,CN,Feidong Air Base - Hefei
141,CN-0149,Fuzhou Air Base,Fuzhou,CN,Fuzhou Air Base - Fuzhou
142,CN-0152,Huian Air Base,,CN,Huian Air Base - nan
143,CN-0153,Hangzhou Jianqiao Airport,Hangzhou,CN,Hangzhou Jianqiao Airport - Hangzhou
144,CN-0154,Jiaxing Airport / Jiaxing Air Base,"Xiuzhou, Hangzhou",CN,"Jiaxing Airport / Jiaxing Air Base - Xiuzhou, Hangzhou"
145,CN-0158,Longtian Air Base,Fuzhou (Fuqing),CN,Longtian Air Base - Fuzhou (Fuqing)
146,CN-0159,Longyou Air Base,,CN,Longyou Air Base - nan
147,CN-0163,Nanchang Xiangtang Air Base,Nanchang,CN,Nanchang Xiangtang Air Base - Nanchang
148,CN-0165,Ningbo Zhuangqiao Air Base,Ningbo,CN,Ningbo Zhuangqiao Air Base - Ningbo
149,CN-0169,Shanghai Dachang Air Base,Shanghai (Baoshan),CN,Shanghai Dachang Air Base - Shanghai (Baoshan)
150,CN-0182,Zhangshu Air Base,Yichun,CN,Zhangshu Air Base - Yichun
151,CN-0185,Changchun Air Base,Changchun,CN,Changchun Air Base - Changchun
152,CN-0187,Chifeng Air Base,,CN,Chifeng Air Base - nan
153,CN-0188,Beijing Nanjiao Airport,Beijing,CN,Beijing Nanjiao Airport - Beijing
154,CN-0189,Dandong Langtou Airport,"Zhenxing, Dandong",CN,"Dandong Langtou Airport - Zhenxing, Dandong"
155,CN-0190,Dingxin/Shuangchengzi Air Base,,CN,Dingxin/Shuangchengzi Air Base - nan
156,CN-0191,Fuxin Air Base,"Xihe, Fuxin",CN,"Fuxin Air Base - Xihe, Fuxin"
157,CN-0192,Gongzhuling Air Base,Siping,CN,Gongzhuling Air Base - Siping
158,CN-0197,Kaiyuan Air Base,"Qinghe, Tieling",CN,"Kaiyuan Air Base - Qinghe, Tieling"
159,CN-0198,Lalin Air Base,Harbin,CN,Lalin Air Base - Harbin
160,CN-0201,Pingquan Air Base,,CN,Pingquan Air Base - nan
161,CN-0204,Shenyang Beiling Air Base,"Huanggu, Shenyang",CN,"Shenyang Beiling Air Base - Huanggu, Shenyang"
162,CN-0206,Shenyang Yuhong Quansheng Airport,"Yuhong, Shenyang",CN,"Shenyang Yuhong Quansheng Airport - Yuhong, Shenyang"
163,CN-0208,Siping Air Base,Siping,CN,Siping Air Base - Siping
164,CN-0209,Suizhong Air Base,Huludao,CN,Suizhong Air Base - Huludao
165,CN-0210,Tuchengzi Air Base,"Lüshunkou, Dalian",CN,"Tuchengzi Air Base - Lüshunkou, Dalian"
166,CN-JNZ,Sanshilipu Air Base,"Jinzhou, Dalian",CN,"Sanshilipu Air Base - Jinzhou, Dalian"
167,CNC3,Brampton-Caledon Airport,,CA,Brampton-Caledon Airport - nan
168,CY-0002,Lefkoniko Airport / Geçitkale Air Base,Geçitkale,CY,Lefkoniko Airport / Geçitkale Air Base - Geçitkale
169,CYAC,Cat Lake Airport,Cat Lake,CA,Cat Lake Airport - Cat Lake
170,CYAG,Fort Frances Municipal Airport,Fort Frances,CA,Fort Frances Municipal Airport - Fort Frances
171,CYAH,La Grande-4 Airport,La Grande-4,CA,La Grande-4 Airport - La Grande-4
172,CYAL,Alert Bay Airport,Alert Bay,CA,Alert Bay Airport - Alert Bay
173,CYAM,Sault Ste Marie Airport,Sault Ste Marie,CA,Sault Ste Marie Airport - Sault Ste Marie
174,CYAQ,Kasabonika Airport,Kasabonika,CA,Kasabonika Airport - Kasabonika
175,CYAS,Kangirsuk Airport,Kangirsuk,CA,Kangirsuk Airport - Kangirsuk
176,CYAT,Attawapiskat Airport,Attawapiskat,CA,Attawapiskat Airport - Attawapiskat
177,CYAV,Winnipeg / St. Andrews Airport,Saint Andrews,CA,Winnipeg / St. Andrews Airport - Saint Andrews
178,CYAX,Lac Du Bonnet Airport,Lac Du Bonnet,CA,Lac Du Bonnet Airport - Lac Du Bonnet
179,CYAY,St. Anthony Airport,St. Anthony,CA,St. Anthony Airport - St. Anthony
180,CYAZ,Tofino / Long Beach Airport,Tofino,CA,Tofino / Long Beach Airport - Tofino
181,CYBB,Kugaaruk Airport,Kugaaruk,CA,Kugaaruk Airport - Kugaaruk
182,CYBC,Baie-Comeau Airport,Baie-Comeau,CA,Baie-Comeau Airport - Baie-Comeau
183,CYBD,Bella Coola Airport,Bella Coola,CA,Bella Coola Airport - Bella Coola
184,CYBE,Uranium City Airport,Uranium City,CA,Uranium City Airport - Uranium City
185,CYBF,Bonnyville Airport,Bonnyville,CA,Bonnyville Airport - Bonnyville
186,CYBG,CFB Bagotville,Bagotville,CA,CFB Bagotville - Bagotville
187,CYBK,Baker Lake Airport,Baker Lake,CA,Baker Lake Airport - Baker Lake
188,CYBL,Campbell River Airport,Campbell River,CA,Campbell River Airport - Campbell River
189,CYBQ,Tadoule Lake Airport,Tadoule Lake,CA,Tadoule Lake Airport - Tadoule Lake
190,CYBR,Brandon Municipal Airport,Brandon,CA,Brandon Municipal Airport - Brandon
191,CYBT,Brochet Airport,Brochet,CA,Brochet Airport - Brochet
192,CYBU,Nipawin Airport,Nipawin,CA,Nipawin Airport - Nipawin
193,CYBV,Berens River Airport,Berens River,CA,Berens River Airport - Berens River
194,CYBW,Calgary / Springbank Airport,Calgary,CA,Calgary / Springbank Airport - Calgary
195,CYBX,Lourdes-de-Blanc-Sablon Airport,Lourdes-de-Blanc-Sablon,CA,Lourdes-de-Blanc-Sablon Airport - Lourdes-de-Blanc-Sablon
196,CYCA,Cartwright Airport,Cartwright,CA,Cartwright Airport - Cartwright
197,CYCB,Cambridge Bay Airport,Cambridge Bay,CA,Cambridge Bay Airport - Cambridge Bay
198,CYCC,Cornwall Regional Airport,Cornwall,CA,Cornwall Regional Airport - Cornwall
199,CYCD,Nanaimo Airport,Nanaimo,CA,Nanaimo Airport - Nanaimo
200,CYCE,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA,Centralia / James T. Field Memorial Aerodrome - Huron Park
201,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,Castlegar/West Kootenay Regional Airport - Castlegar
202,CYCH,Miramichi Airport,Miramichi,CA,Miramichi Airport - Miramichi
203,CYCL,Charlo Airport,Charlo,CA,Charlo Airport - Charlo
204,CYCN,Cochrane Airport,Cochrane,CA,Cochrane Airport - Cochrane
205,CYCO,Kugluktuk Airport,Kugluktuk,CA,Kugluktuk Airport - Kugluktuk
206,CYCP,Blue River Airport,Blue River,CA,Blue River Airport - Blue River
207,CYCQ,Chetwynd Airport,Chetwynd,CA,Chetwynd Airport - Chetwynd
208,CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,CA,Cross Lake (Charlie Sinclair Memorial) Airport - Cross Lake
209,CYCS,Chesterfield Inlet Airport,Chesterfield Inlet,CA,Chesterfield Inlet Airport - Chesterfield Inlet
210,CYCY,Clyde River Airport,Clyde River,CA,Clyde River Airport - Clyde River
211,CYDA,Dawson City Airport,Dawson City,CA,Dawson City Airport - Dawson City
212,CYDB,Burwash Airport,Burwash,CA,Burwash Airport - Burwash
213,CYDC,Princeton Airport,Town of Princeton,CA,Princeton Airport - Town of Princeton
214,CYDF,Deer Lake Airport,Deer Lake,CA,Deer Lake Airport - Deer Lake
215,CYDM,Ross River Airport,Ross River,CA,Ross River Airport - Ross River
216,CYDN,Dauphin Barker Airport,Dauphin,CA,Dauphin Barker Airport - Dauphin
217,CYDO,Dolbeau St Felicien Airport,Dolbeau-St-Félicien,CA,Dolbeau St Felicien Airport - Dolbeau-St-Félicien
218,CYDP,Nain Airport,Nain,CA,Nain Airport - Nain
219,CYDQ,Dawson Creek Airport,Dawson Creek,CA,Dawson Creek Airport - Dawson Creek
220,CYEE,Huronia Airport,Midland,CA,Huronia Airport - Midland
221,CYEG,Edmonton International Airport,Edmonton,CA,Edmonton International Airport - Edmonton
222,CYEK,Arviat Airport,Arviat,CA,Arviat Airport - Arviat
223,CYEL,Elliot Lake Municipal Airport,Elliot Lake,CA,Elliot Lake Municipal Airport - Elliot Lake
224,CYEM,Manitoulin East Municipal Airport,Sheguiandah,CA,Manitoulin East Municipal Airport - Sheguiandah
225,CYEN,Estevan Airport,Estevan,CA,Estevan Airport - Estevan
226,CYER,Fort Severn Airport,Fort Severn,CA,Fort Severn Airport - Fort Severn
227,CYET,Edson Airport,Edson,CA,Edson Airport - Edson
228,CYEV,Inuvik Mike Zubko Airport,Inuvik,CA,Inuvik Mike Zubko Airport - Inuvik
229,CYEY,Amos/Magny Airport,Amos,CA,Amos/Magny Airport - Amos
230,CYFA,Fort Albany Airport,Fort Albany,CA,Fort Albany Airport - Fort Albany
231,CYFB,Iqaluit Airport,Iqaluit,CA,Iqaluit Airport - Iqaluit
232,CYFC,Fredericton Airport,Fredericton,CA,Fredericton Airport - Fredericton
233,CYFE,Forestville Airport,Forestville,CA,Forestville Airport - Forestville
234,CYFH,Fort Hope Airport,Fort Hope,CA,Fort Hope Airport - Fort Hope
235,CYFJ,Mont-Tremblant International Airport,La Macaza,CA,Mont-Tremblant International Airport - La Macaza
236,CYFO,Flin Flon Airport,Flin Flon,CA,Flin Flon Airport - Flin Flon
237,CYFR,Fort Resolution Airport,Fort Resolution,CA,Fort Resolution Airport - Fort Resolution
238,CYFS,Fort Simpson Airport,Fort Simpson,CA,Fort Simpson Airport - Fort Simpson
239,CYFT,Makkovik Airport,Makkovik,CA,Makkovik Airport - Makkovik
240,CYGB,Texada Gillies Bay Airport,Texada,CA,Texada Gillies Bay Airport - Texada
241,CYGD,Goderich Airport,Goderich,CA,Goderich Airport - Goderich
242,CYGE,Golden Airport,Golden,CA,Golden Airport - Golden
243,CYGH,Fort Good Hope Airport,Fort Good Hope,CA,Fort Good Hope Airport - Fort Good Hope
244,CYGK,Kingston Norman Rogers Airport,Kingston,CA,Kingston Norman Rogers Airport - Kingston
245,CYGL,La Grande Rivière Airport,La Grande Rivière,CA,La Grande Rivière Airport - La Grande Rivière
246,CYGM,Gimli Industrial Park Airport,Gimli,CA,Gimli Industrial Park Airport - Gimli
247,CYGO,Gods Lake Narrows Airport,Gods Lake Narrows,CA,Gods Lake Narrows Airport - Gods Lake Narrows
248,CYGP,Gaspé (Michel-Pouliot) Airport,Gaspé,CA,Gaspé (Michel-Pouliot) Airport - Gaspé
249,CYGQ,Geraldton Greenstone Regional Airport,Geraldton,CA,Geraldton Greenstone Regional Airport - Geraldton
250,CYGR,Îles-de-la-Madeleine Airport,Îles-de-la-Madeleine,CA,Îles-de-la-Madeleine Airport - Îles-de-la-Madeleine
251,CYGT,Igloolik Airport,Igloolik,CA,Igloolik Airport - Igloolik
252,CYGV,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,Havre-Saint-Pierre Airport - Havre-Saint-Pierre
253,CYGW,Kuujjuarapik Airport,Kuujjuarapik,CA,Kuujjuarapik Airport - Kuujjuarapik
254,CYGX,Gillam Airport,Gillam,CA,Gillam Airport - Gillam
255,CYGZ,Grise Fiord Airport,Grise Fiord,CA,Grise Fiord Airport - Grise Fiord
256,CYHA,Quaqtaq Airport,Quaqtaq,CA,Quaqtaq Airport - Quaqtaq
257,CYHD,Dryden Regional Airport,Dryden,CA,Dryden Regional Airport - Dryden
258,CYHE,Hope Airport / FVRD Regional Airpark,Hope,CA,Hope Airport / FVRD Regional Airpark - Hope
259,CYHF,Hearst René Fontaine Municipal Airport,Hearst,CA,Hearst René Fontaine Municipal Airport - Hearst
260,CYHH,Nemiscau Airport,Nemiscau,CA,Nemiscau Airport - Nemiscau
261,CYHI,Ulukhaktok Holman Airport,Ulukhaktok,CA,Ulukhaktok Holman Airport - Ulukhaktok
262,CYHK,Gjoa Haven Airport,Gjoa Haven,CA,Gjoa Haven Airport - Gjoa Haven
263,CYHM,John C. Munro Hamilton International Airport,Hamilton,CA,John C. Munro Hamilton International Airport - Hamilton
264,CYHN,Hornepayne Municipal Airport,Hornepayne,CA,Hornepayne Municipal Airport - Hornepayne
265,CYHO,Hopedale Airport,Hopedale,CA,Hopedale Airport - Hopedale
266,CYHR,Chevery Airport,Chevery,CA,Chevery Airport - Chevery
267,CYHT,Haines Junction Airport,Haines Junction,CA,Haines Junction Airport - Haines Junction
268,CYHU,Montréal / Saint-Hubert Airport,Montréal,CA,Montréal / Saint-Hubert Airport - Montréal
269,CYHY,Hay River / Merlyn Carter Airport,Hay River,CA,Hay River / Merlyn Carter Airport - Hay River
270,CYHZ,Halifax / Stanfield International Airport,Halifax,CA,Halifax / Stanfield International Airport - Halifax
271,CYIB,Atikokan Municipal Airport,Atikokan,CA,Atikokan Municipal Airport - Atikokan
272,CYID,Digby / Annapolis Regional Airport,Digby,CA,Digby / Annapolis Regional Airport - Digby
273,CYIF,St Augustin Airport,St-Augustin,CA,St Augustin Airport - St-Augustin
274,CYIK,Ivujivik Airport,Ivujivik,CA,Ivujivik Airport - Ivujivik
275,CYIO,Pond Inlet Airport,Pond Inlet,CA,Pond Inlet Airport - Pond Inlet
276,CYIV,Island Lake Airport,Island Lake,CA,Island Lake Airport - Island Lake
277,CYJF,Fort Liard Airport,Fort Liard,CA,Fort Liard Airport - Fort Liard
278,CYJN,St Jean Airport,St Jean,CA,St Jean Airport - St Jean
279,CYJT,Stephenville Airport,Stephenville,CA,Stephenville Airport - Stephenville
280,CYKA,Kamloops Airport,Kamloops,CA,Kamloops Airport - Kamloops
281,CYKD,Aklavik/Freddie Carmichael Airport,Aklavik,CA,Aklavik/Freddie Carmichael Airport - Aklavik
282,CYKF,Waterloo Airport,Kitchener,CA,Waterloo Airport - Kitchener
283,CYKG,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,CA,Kangiqsujuaq (Wakeham Bay) Airport - Kangiqsujuaq
284,CYKJ,Key Lake Airport,Key Lake,CA,Key Lake Airport - Key Lake
285,CYKL,Schefferville Airport,Schefferville,CA,Schefferville Airport - Schefferville
286,CYKO,Akulivik Airport,Akulivik,CA,Akulivik Airport - Akulivik
287,CYKQ,Waskaganish Airport,Waskaganish,CA,Waskaganish Airport - Waskaganish
288,CYKX,Kirkland Lake Airport,Kirkland Lake,CA,Kirkland Lake Airport - Kirkland Lake
289,CYKY,Kindersley Airport,Kindersley,CA,Kindersley Airport - Kindersley
290,CYKZ,Buttonville Municipal Airport,Toronto,CA,Buttonville Municipal Airport - Toronto
291,CYLA,Aupaluk Airport,Aupaluk,CA,Aupaluk Airport - Aupaluk
292,CYLC,Kimmirut Airport,Kimmirut,CA,Kimmirut Airport - Kimmirut
