,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
57,Fort St John Airport - Fort St.John,2022-06-26,10:33,15:24,2022-06-26,Swift Current Airport - Swift Current,Gulf Air
58,Abbotsford International Airport - Abbotsford,2022-06-19,15:00,18:18,2022-06-19,Taloyoak Airport - Taloyoak,Nauru Airlines
59,Gore Bay Manitoulin Airport - Gore Bay,2022-06-15,07:14,11:40,2022-06-15,Abbotsford International Airport - Abbotsford,Royal Brunei Airlines
60,Victoria International Airport - Victoria,2022-06-01,15:34,19:50,2022-06-01,London Airport - London,Alitalia
61,Churchill Airport - Churchill,2022-06-24,23:12,04:42,2022-06-24,North Bay Jack Garland Airport - North Bay,Air Nauru
62,Fort Nelson Airport - Fort Nelson,2022-06-08,07:11,08:53,2022-06-08,Gore Bay Manitoulin Airport - Gore Bay,Royal Tongan Airlines
63,Victoria International Airport - Victoria,2022-06-04,09:40,12:27,2022-06-04,Fort Smith Airport - Fort Smith,Evergreen Intl Airlines
64,Whale Cove Airport - Whale Cove,2022-06-22,02:11,08:29,2022-06-22,Fort St John Airport - Fort St.John,KLM Royal Dutch Airlines
65,Victoria International Airport - Victoria,2022-06-19,02:10,03:41,2022-06-19,Gore Bay Manitoulin Airport - Gore Bay,Polar Air Cargo
66,Gore Bay Manitoulin Airport - Gore Bay,2022-06-19,12:24,16:37,2022-06-19,North Bay Jack Garland Airport - North Bay,Virgin Atlantic Airways
67,Beaver Creek Airport - Beaver Creek,2022-06-06,06:55,09:44,2022-06-06,St. John's International Airport - St. John's,AOM French Airlines
68,Taloyoak Airport - Taloyoak,2022-06-30,17:15,21:59,2022-06-30,La Ronge Airport - La Ronge,Merpati Nusantara Airlines
69,Bonaventure Airport - Bonaventure,2022-06-22,02:44,08:40,2022-06-22,Armstrong Airport - Armstrong,Thai AirAsia X
70,Abbotsford International Airport - Abbotsford,2022-06-19,21:30,03:35,2022-06-19,Lynn Lake Airport - Lynn Lake,Airlines PNG
71,Bonaventure Airport - Bonaventure,2022-06-02,14:33,15:51,2022-06-02,Downsview Airport - Toronto,China Airlines
72,Fort St John Airport - Fort St.John,2022-06-21,03:51,08:19,2022-06-21,Fort Nelson Airport - Fort Nelson,LATAM Airlines
73,Downsview Airport - Toronto,2022-06-08,06:16,11:39,2022-06-08,Abbotsford International Airport - Abbotsford,Royal Brunei Airlines
74,Beaver Creek Airport - Beaver Creek,2022-06-15,18:02,22:30,2022-06-15,Medicine Hat Regional Airport - Medicine Hat,Norfolk Jet Express
75,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-18,00:34,02:08,2022-06-18,La Ronge Airport - La Ronge,Polar Air Cargo
76,Fort Smith Airport - Fort Smith,2022-06-04,20:37,01:50,2022-06-04,Taloyoak Airport - Taloyoak,Pacific Air Express
77,Swift Current Airport - Swift Current,2022-06-30,13:17,15:25,2022-06-30,London Airport - London,Norfolk Jet Express
78,Churchill Airport - Churchill,2022-06-30,08:45,12:18,2022-06-30,Mont Joli Airport - Mont-Joli,Polar Air Cargo
79,Beaver Creek Airport - Beaver Creek,2022-06-09,21:04,23:04,2022-06-09,Lynn Lake Airport - Lynn Lake,Ansett Air Freight
80,Taloyoak Airport - Taloyoak,2022-06-06,19:47,01:11,2022-06-06,North Bay Jack Garland Airport - North Bay,Korean Air
81,Kapuskasing Airport - Kapuskasing,2022-06-03,10:01,13:15,2022-06-03,La Ronge Airport - La Ronge,Flight West Airlines
82,St. John's International Airport - St. John's,2022-06-24,22:30,03:06,2022-06-24,Beaver Creek Airport - Beaver Creek,Xiamen Airlines
83,Goose Bay Airport - Goose Bay,2022-06-27,11:32,16:10,2022-06-27,Victoria International Airport - Victoria,Continental Airlines
84,St. John's International Airport - St. John's,2022-06-02,23:10,01:53,2022-06-02,Kapuskasing Airport - Kapuskasing,SkyAirWorld
85,Kapuskasing Airport - Kapuskasing,2022-06-21,17:46,19:27,2022-06-21,Fort St John Airport - Fort St.John,Philippine Airlines
86,Medicine Hat Regional Airport - Medicine Hat,2022-06-30,00:58,05:41,2022-06-30,Goose Bay Airport - Goose Bay,Kiwi Travel Intl Airlines
87,Goose Bay Airport - Goose Bay,2022-06-02,14:05,15:08,2022-06-02,Downsview Airport - Toronto,Mandarin Airlines
88,St Leonard Airport - St Leonard,2022-06-30,01:37,02:15,2022-06-30,Lynn Lake Airport - Lynn Lake,Thai Airways International
89,La Ronge Airport - La Ronge,2022-06-06,01:57,07:15,2022-06-06,Swift Current Airport - Swift Current,Virgin Atlantic Airways
90,Taloyoak Airport - Taloyoak,2022-06-30,10:08,14:34,2022-06-30,Beaver Creek Airport - Beaver Creek,Air New Zealand
91,Beaver Creek Airport - Beaver Creek,2022-06-07,19:40,22:49,2022-06-07,Timmins/Victor M. Power - Timmins,JALways
92,Lynn Lake Airport - Lynn Lake,2022-06-27,19:28,21:23,2022-06-27,Medicine Hat Regional Airport - Medicine Hat,Polar Air Cargo
93,Goose Bay Airport - Goose Bay,2022-06-15,06:57,13:29,2022-06-15,Fort St John Airport - Fort St.John,Lauda Air
94,Taloyoak Airport - Taloyoak,2022-06-24,01:30,05:52,2022-06-24,Mont Joli Airport - Mont-Joli,Kiwi Travel Intl Airlines
95,Fort Nelson Airport - Fort Nelson,2022-06-06,10:42,12:30,2022-06-06,Taloyoak Airport - Taloyoak,Aegean Airlines
96,Armstrong Airport - Armstrong,2022-06-13,02:15,04:14,2022-06-13,Timmins/Victor M. Power - Timmins,Air Paradise International
97,St. John's International Airport - St. John's,2022-06-11,22:44,02:59,2022-06-11,Churchill Airport - Churchill,Australian Airlines
98,Fort Nelson Airport - Fort Nelson,2022-06-13,20:44,00:07,2022-06-13,London Airport - London,Pan American
99,Beaver Creek Airport - Beaver Creek,2022-06-03,17:54,20:27,2022-06-03,Northwest Regional Airport Terrace-Kitimat - Terrace,China Airlines
100,Swift Current Airport - Swift Current,2022-06-13,04:57,06:15,2022-06-13,Bonaventure Airport - Bonaventure,Air Pacific
101,Lester B. Pearson International Airport - Toronto,2022-06-29,10:35,15:31,2022-06-29,Whale Cove Airport - Whale Cove,Silk Air
102,La Ronge Airport - La Ronge,2022-06-17,10:39,13:16,2022-06-17,Victoria International Airport - Victoria,LATAM Airlines
103,Taloyoak Airport - Taloyoak,2022-06-28,09:27,12:13,2022-06-28,Armstrong Airport - Armstrong,SriLankan Airlines
104,Bonaventure Airport - Bonaventure,2022-06-03,20:23,03:03,2022-06-03,Victoria International Airport - Victoria,Donghai Airlines
105,London Airport - London,2022-06-30,22:40,02:17,2022-06-30,Victoria International Airport - Victoria,Olympic Airways
106,Medicine Hat Regional Airport - Medicine Hat,2022-06-21,04:07,07:56,2022-06-21,Northwest Regional Airport Terrace-Kitimat - Terrace,Gulf Air
107,Goose Bay Airport - Goose Bay,2022-06-27,23:27,02:02,2022-06-27,Lynn Lake Airport - Lynn Lake,National Jet Systems
108,London Airport - London,2022-06-20,07:36,08:30,2022-06-20,Beaver Creek Airport - Beaver Creek,Delta Air Lines
109,London Airport - London,2022-06-21,06:53,07:50,2022-06-21,Bonaventure Airport - Bonaventure,Pacific Air Express
110,Abbotsford International Airport - Abbotsford,2022-06-08,01:00,05:42,2022-06-08,Downsview Airport - Toronto,British Airways
111,Kapuskasing Airport - Kapuskasing,2022-06-02,12:14,18:51,2022-06-02,Bonaventure Airport - Bonaventure,Malaysia Airlines
112,Abbotsford International Airport - Abbotsford,2022-06-08,10:17,12:32,2022-06-08,Lester B. Pearson International Airport - Toronto,Airnorth
113,Victoria International Airport - Victoria,2022-06-22,14:41,17:11,2022-06-22,Northwest Regional Airport Terrace-Kitimat - Terrace,Cook Islands International
114,Lynn Lake Airport - Lynn Lake,2022-06-24,19:47,00:18,2022-06-24,Fort St John Airport - Fort St.John,MBA Pty Ltd
115,Bonaventure Airport - Bonaventure,2022-06-28,21:55,23:26,2022-06-28,St. John's International Airport - St. John's,Transair
116,Fort Smith Airport - Fort Smith,2022-06-09,06:09,06:44,2022-06-09,Downsview Airport - Toronto,Transair
117,Lester B. Pearson International Airport - Toronto,2022-06-21,05:55,11:24,2022-06-21,Fort Smith Airport - Fort Smith,South African Airways
118,Whale Cove Airport - Whale Cove,2022-06-23,06:41,12:31,2022-06-23,Downsview Airport - Toronto,Ansett International
119,Churchill Airport - Churchill,2022-06-07,07:27,12:05,2022-06-07,Lynn Lake Airport - Lynn Lake,Polynesian Airlines
120,Timmins/Victor M. Power - Timmins,2022-06-02,17:15,20:10,2022-06-02,Lester B. Pearson International Airport - Toronto,Air Tahiti Nui
121,Churchill Airport - Churchill,2022-06-26,07:02,10:23,2022-06-26,St. John's International Airport - St. John's,Air Paradise International
122,Kapuskasing Airport - Kapuskasing,2022-06-08,06:49,07:43,2022-06-08,St Leonard Airport - St Leonard,KLM Royal Dutch Airlines
123,Beaver Creek Airport - Beaver Creek,2022-06-03,03:09,04:04,2022-06-03,Downsview Airport - Toronto,Air Australia
124,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-14,03:58,05:27,2022-06-14,Whale Cove Airport - Whale Cove,Union de Transports Aeriens
125,London Airport - London,2022-06-27,07:01,09:42,2022-06-27,Timmins/Victor M. Power - Timmins,Aeroflot Russian Intl A/l
126,Goose Bay Airport - Goose Bay,2022-06-29,07:59,08:57,2022-06-29,Beaver Creek Airport - Beaver Creek,China Airlines
127,St. John's International Airport - St. John's,2022-06-30,16:07,20:56,2022-06-30,Abbotsford International Airport - Abbotsford,Pel-Air Aviation
128,Abbotsford International Airport - Abbotsford,2022-06-14,23:53,05:38,2022-06-14,Medicine Hat Regional Airport - Medicine Hat,United Airlines
129,Swift Current Airport - Swift Current,2022-06-25,07:32,07:58,2022-06-25,Downsview Airport - Toronto,Flying Tiger Line
130,Lynn Lake Airport - Lynn Lake,2022-06-06,20:27,20:48,2022-06-06,Swift Current Airport - Swift Current,National Jet Systems
131,Mont Joli Airport - Mont-Joli,2022-06-12,01:41,07:46,2022-06-12,Taloyoak Airport - Taloyoak,Cook Islands International
132,Kapuskasing Airport - Kapuskasing,2022-06-25,01:23,03:44,2022-06-25,Fort Smith Airport - Fort Smith,Hawaiian Airlines
133,Victoria International Airport - Victoria,2022-06-16,04:13,04:42,2022-06-16,North Bay Jack Garland Airport - North Bay,Canadian Airlines Intl
134,London Airport - London,2022-06-21,11:50,16:59,2022-06-21,Gore Bay Manitoulin Airport - Gore Bay,Japan Airlines
135,Fort St John Airport - Fort St.John,2022-06-02,12:54,19:31,2022-06-02,Gore Bay Manitoulin Airport - Gore Bay,Continental Airlines
136,Armstrong Airport - Armstrong,2022-06-12,18:59,21:50,2022-06-12,St Leonard Airport - St Leonard,AOM French Airlines
137,Fort St John Airport - Fort St.John,2022-06-15,17:21,17:50,2022-06-15,Lester B. Pearson International Airport - Toronto,Tianjin Airlines
138,Bonaventure Airport - Bonaventure,2022-06-14,00:13,05:39,2022-06-14,Armstrong Airport - Armstrong,Cathay Pacific Airways
139,Fort Nelson Airport - Fort Nelson,2022-06-15,07:13,10:03,2022-06-15,Churchill Airport - Churchill,Garuda Indonesia
140,Lester B. Pearson International Airport - Toronto,2022-06-13,04:11,06:11,2022-06-13,Bonaventure Airport - Bonaventure,Pan American
141,Downsview Airport - Toronto,2022-06-11,05:19,08:13,2022-06-11,Beaver Creek Airport - Beaver Creek,Air Paradise International
142,Lynn Lake Airport - Lynn Lake,2022-06-30,08:24,12:56,2022-06-30,London Airport - London,Air France
143,La Ronge Airport - La Ronge,2022-06-15,13:47,16:08,2022-06-15,Mont Joli Airport - Mont-Joli,Continental Airlines
144,Goose Bay Airport - Goose Bay,2022-06-03,13:01,17:52,2022-06-03,Mont Joli Airport - Mont-Joli,Air Zimbabwe
145,Whale Cove Airport - Whale Cove,2022-06-10,17:51,20:23,2022-06-10,Swift Current Airport - Swift Current,Vietnam Airlines
146,Fort St John Airport - Fort St.John,2022-06-20,15:25,19:24,2022-06-20,Gore Bay Manitoulin Airport - Gore Bay,Cebu Pacific Air
147,Goose Bay Airport - Goose Bay,2022-06-01,16:18,16:46,2022-06-01,St Leonard Airport - St Leonard,Scoot Tigerair
148,St Leonard Airport - St Leonard,2022-06-26,06:50,10:38,2022-06-26,London Airport - London,Air Zimbabwe
149,St. John's International Airport - St. John's,2022-06-10,17:15,19:13,2022-06-10,Bonaventure Airport - Bonaventure,Samoa Airways
150,London Airport - London,2022-06-02,06:55,12:34,2022-06-02,Northwest Regional Airport Terrace-Kitimat - Terrace,Qantas Airways
151,St. John's International Airport - St. John's,2022-06-07,14:13,14:37,2022-06-07,St Leonard Airport - St Leonard,Air Nauru
152,Beaver Creek Airport - Beaver Creek,2022-06-14,00:48,07:08,2022-06-14,Northwest Regional Airport Terrace-Kitimat - Terrace,Virgin Australia
153,Lynn Lake Airport - Lynn Lake,2022-06-17,15:43,18:58,2022-06-17,Gore Bay Manitoulin Airport - Gore Bay,Evergreen Intl Airlines
154,Fort St John Airport - Fort St.John,2022-06-30,14:16,19:37,2022-06-30,Armstrong Airport - Armstrong,Air Australia
155,Gore Bay Manitoulin Airport - Gore Bay,2022-06-29,10:35,11:09,2022-06-29,Downsview Airport - Toronto,Vietnam Airlines
156,Abbotsford International Airport - Abbotsford,2022-06-03,16:57,20:00,2022-06-03,Beaver Creek Airport - Beaver Creek,Transair
157,Kapuskasing Airport - Kapuskasing,2022-06-17,00:50,05:40,2022-06-17,Churchill Airport - Churchill,Aerolineas Argentinas
158,Victoria International Airport - Victoria,2022-06-15,23:15,05:07,2022-06-15,La Ronge Airport - La Ronge,Polar Air Cargo
159,Beaver Creek Airport - Beaver Creek,2022-06-14,07:04,12:50,2022-06-14,La Ronge Airport - La Ronge,Flying Tiger Line
160,Armstrong Airport - Armstrong,2022-06-28,13:31,19:28,2022-06-28,La Ronge Airport - La Ronge,Pacific Air Express
161,London Airport - London,2022-06-13,02:18,03:53,2022-06-13,Mont Joli Airport - Mont-Joli,Thai AirAsia X
162,Downsview Airport - Toronto,2022-06-08,16:58,18:21,2022-06-08,Fort Smith Airport - Fort Smith,V Australia
163,Lester B. Pearson International Airport - Toronto,2022-06-22,22:53,01:05,2022-06-22,London Airport - London,LATAM Airlines
164,Churchill Airport - Churchill,2022-06-07,00:30,01:34,2022-06-07,North Bay Jack Garland Airport - North Bay,Ansett Air Freight
165,Beaver Creek Airport - Beaver Creek,2022-06-14,03:35,04:49,2022-06-14,Lynn Lake Airport - Lynn Lake,Etihad Airways
166,Lynn Lake Airport - Lynn Lake,2022-06-07,21:55,01:32,2022-06-07,Goose Bay Airport - Goose Bay,Air Vanuatu
167,La Ronge Airport - La Ronge,2022-06-09,22:01,22:38,2022-06-09,Churchill Airport - Churchill,KLM Royal Dutch Airlines
168,Fort Smith Airport - Fort Smith,2022-06-03,17:13,23:26,2022-06-03,La Ronge Airport - La Ronge,Cook Islands International
169,Bonaventure Airport - Bonaventure,2022-06-23,08:01,09:20,2022-06-23,St. John's International Airport - St. John's,Polar Air Cargo
170,Mont Joli Airport - Mont-Joli,2022-06-15,16:53,20:00,2022-06-15,Taloyoak Airport - Taloyoak,Air Canada
171,Whale Cove Airport - Whale Cove,2022-06-10,12:29,13:11,2022-06-10,Medicine Hat Regional Airport - Medicine Hat,Evergreen Intl Airlines
172,Fort Nelson Airport - Fort Nelson,2022-06-16,07:29,12:50,2022-06-16,Churchill Airport - Churchill,Nauru Airlines
173,Swift Current Airport - Swift Current,2022-06-23,07:22,10:03,2022-06-23,Victoria International Airport - Victoria,Norfolk Jet Express
174,Armstrong Airport - Armstrong,2022-06-27,15:30,18:59,2022-06-27,Kapuskasing Airport - Kapuskasing,Hawaiian Airlines
175,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-27,09:50,12:30,2022-06-27,Abbotsford International Airport - Abbotsford,Valuair
176,North Bay Jack Garland Airport - North Bay,2022-06-27,00:52,07:25,2022-06-27,London Airport - London,China Airlines
177,Lynn Lake Airport - Lynn Lake,2022-06-17,11:23,11:59,2022-06-17,La Ronge Airport - La Ronge,Cook Islands International
178,Medicine Hat Regional Airport - Medicine Hat,2022-06-04,06:44,10:40,2022-06-04,Downsview Airport - Toronto,Union de Transports Aeriens
179,Lester B. Pearson International Airport - Toronto,2022-06-12,17:03,21:15,2022-06-12,Fort St John Airport - Fort St.John,Eva Air
180,La Ronge Airport - La Ronge,2022-06-15,18:17,23:18,2022-06-15,Medicine Hat Regional Airport - Medicine Hat,Citilink Indonesia
181,St. John's International Airport - St. John's,2022-06-21,07:37,13:17,2022-06-21,Taloyoak Airport - Taloyoak,Scoot Tigerair
182,Whale Cove Airport - Whale Cove,2022-06-27,01:41,05:02,2022-06-27,Churchill Airport - Churchill,Air India
183,Fort St John Airport - Fort St.John,2022-06-02,07:40,11:56,2022-06-02,Swift Current Airport - Swift Current,SkyAirWorld
184,St Leonard Airport - St Leonard,2022-06-10,01:18,03:28,2022-06-10,Victoria International Airport - Victoria,Xiamen Airlines
185,Goose Bay Airport - Goose Bay,2022-06-01,13:47,16:55,2022-06-01,Downsview Airport - Toronto,Evergreen Intl Airlines
186,Churchill Airport - Churchill,2022-06-30,10:42,14:00,2022-06-30,Kapuskasing Airport - Kapuskasing,Donghai Airlines
187,Goose Bay Airport - Goose Bay,2022-06-11,04:17,06:04,2022-06-11,Bonaventure Airport - Bonaventure,Virgin Australia
188,Taloyoak Airport - Taloyoak,2022-06-26,06:48,11:45,2022-06-26,Northwest Regional Airport Terrace-Kitimat - Terrace,National Airlines
189,Medicine Hat Regional Airport - Medicine Hat,2022-06-25,06:53,13:33,2022-06-25,Gore Bay Manitoulin Airport - Gore Bay,National Airlines
190,Victoria International Airport - Victoria,2022-06-10,08:30,09:48,2022-06-10,Gore Bay Manitoulin Airport - Gore Bay,Pel-Air Aviation
191,Medicine Hat Regional Airport - Medicine Hat,2022-06-28,02:13,05:30,2022-06-28,Kapuskasing Airport - Kapuskasing,Continental Micronesia
192,Bonaventure Airport - Bonaventure,2022-06-20,08:41,10:39,2022-06-20,Whale Cove Airport - Whale Cove,Air Vanuatu
193,Beaver Creek Airport - Beaver Creek,2022-06-08,13:03,14:27,2022-06-08,Medicine Hat Regional Airport - Medicine Hat,Indonesia AirAsia Extra
194,Lester B. Pearson International Airport - Toronto,2022-06-09,02:32,05:15,2022-06-09,Downsview Airport - Toronto,Aeroflot Russian Intl A/l
195,Kapuskasing Airport - Kapuskasing,2022-06-06,23:11,04:48,2022-06-06,Fort St John Airport - Fort St.John,Polar Air Cargo
196,St Leonard Airport - St Leonard,2022-06-10,09:29,10:23,2022-06-10,Victoria International Airport - Victoria,Scoot
197,Churchill Airport - Churchill,2022-06-20,06:37,10:53,2022-06-20,North Bay Jack Garland Airport - North Bay,Virgin Samoa
198,Timmins/Victor M. Power - Timmins,2022-06-30,05:27,10:49,2022-06-30,Fort St John Airport - Fort St.John,National Airlines
199,Kapuskasing Airport - Kapuskasing,2022-06-14,17:51,00:11,2022-06-14,Whale Cove Airport - Whale Cove,Fiji Airways
200,North Bay Jack Garland Airport - North Bay,2022-06-26,16:09,22:09,2022-06-26,Taloyoak Airport - Taloyoak,Virgin Australia
201,Goose Bay Airport - Goose Bay,2022-06-16,04:32,10:17,2022-06-16,St. John's International Airport - St. John's,JALways
202,Fort Nelson Airport - Fort Nelson,2022-06-27,15:11,20:15,2022-06-27,Northwest Regional Airport Terrace-Kitimat - Terrace,Silk Air
203,London Airport - London,2022-06-10,22:24,04:32,2022-06-10,Lynn Lake Airport - Lynn Lake,Hong Kong Airlines
204,Abbotsford International Airport - Abbotsford,2022-06-05,05:24,06:46,2022-06-05,Kapuskasing Airport - Kapuskasing,Asiana Airlines
205,St. John's International Airport - St. John's,2022-06-08,16:54,18:26,2022-06-08,Churchill Airport - Churchill,South African Airways
206,Fort Smith Airport - Fort Smith,2022-06-17,00:01,06:33,2022-06-17,London Airport - London,Indonesia AirAsia
207,Kapuskasing Airport - Kapuskasing,2022-06-02,21:50,00:05,2022-06-02,Beaver Creek Airport - Beaver Creek,Batik Air Indonesia
208,Beaver Creek Airport - Beaver Creek,2022-06-20,14:11,20:23,2022-06-20,London Airport - London,Continental Micronesia
